20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219263978939807232    473.06146    1480.7480           240.75275609624           +25.23509088007    13.1832     -1.267     -13.310         2.5376         -19.25
 1219268136468174848    1729.2133    134.40378           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219261951715181696    1580.7367    1922.7623           240.64000739919           +25.15817347671    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1417.3515    879.43163           240.62610880126           +25.27059645442    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    273.57887    868.54108           240.75650606551           +25.30397756494    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1719.3495    136.98257           240.56838584489           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    99.240656    255.18104           240.75734756240           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    360.30220    860.31091           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1019.2957    488.15562           240.65938003592           +25.32227196488    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    347.88571    77.139971           240.72337037972           +25.38370017827    15.4733     -25.243      5.647         1.7637           0.00
 1219265696926734976    388.19387    679.06246           240.73750118286           +25.32034806589    15.6873     -6.113     -15.101         0.9394           0.00
 1219266212322743936    1836.6700    1071.4487           240.58420347988           +25.23889989211    15.9203      3.971     -20.883         2.5940           0.00
 1219267999029221888    1969.5868    192.67611           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219262089154135424    1345.4298    1735.7504           240.66103305102           +25.18414411621    15.9929      1.519     -8.333         0.1069           0.00
 1219265147170920832    744.35691    934.07044           240.70471662667           +25.28395572039    15.8638     -2.901     -6.105         0.3800           0.00
 1219262398391843200    993.35187    1745.7279           240.70158115825           +25.19304203282    16.2212      4.565     -3.769         1.0452           0.00
 1219264769213794944    255.51093    943.85760           240.76085674371           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219263635342517120    1648.6857    1118.7219           240.60717187282           +25.23935468496    16.5835     -14.832      4.627         1.1078           0.00
 1219262535830888192    1293.3803    1590.5984           240.66248570877           +25.20061736164    16.3048      2.295     -5.757         0.6975           0.00
 1219263016867073920    2041.3874    1471.3084           240.57330414469           +25.19179458791    16.1572     -2.608      0.097         0.3688           0.00
 1219262089154135552    1472.0678    1761.4417           240.64737879435           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
