20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219268136468174720     1728.673      141.596           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016      108.002      260.523           240.75734756239           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704      368.923      865.469           240.74632512815           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352     1028.373      493.008           240.65938003590           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768      356.766       82.604           240.72337037963           +25.38370017829    15.4733     -25.243      5.647         1.7637           0.00
 1219262089154135424     1354.431     1739.827           240.66103305102           +25.18414411618    15.9929      1.519     -8.333         0.1069           0.00
 1219262192233349120     1226.811     1926.736           240.68135059114           +25.16839142758    16.5086     -3.149     -11.277         0.3204           0.00
20110228GSC2038.0293_2-184R.fit    25    2011    2         28        22        55        21.0      40.0      
 1219268823662931840      638.773      389.549           240.70020197816           +25.34382258648    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408      124.943     1892.783           240.80560512693           +25.20283748343    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152      843.859     1932.636           240.72477853756           +25.17845620545    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456     1703.253     1810.460           240.62288194116           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832     1590.402      395.155           240.59161467777           +25.31631607683    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848     1734.240      138.518           240.56716352578           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232      477.002     1484.899           240.75275609624           +25.23509088004    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696     1584.853     1926.349           240.64000739921           +25.15817347667    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264     1421.894      883.482           240.62610880126           +25.27059645440    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944      277.784      873.194           240.75650606547           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720     1724.271      141.083           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016      103.704      259.991           240.75734756239           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704      364.533      864.795           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352     1024.069      492.461           240.65938003591           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768      352.411       81.885           240.72337037966           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219262089154135424     1349.643     1739.629           240.66103305102           +25.18414411619    15.9929      1.519     -8.333         0.1069           0.00
 1219265696926734976      392.625      683.816           240.73750118284           +25.32034806585    15.6873     -6.113     -15.101         0.9394           0.00
 1219267999029221888     1974.468      196.665           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219266212322743936     1841.345     1075.137           240.58420347989           +25.23889989206    15.9203      3.971     -20.883         2.5940           0.00
 1219263875860592384      566.724     1505.834           240.74317170543           +25.23041481588    16.0765      6.359     -7.994         0.4218           0.00
 1219262089154135552     1476.251     1764.924           240.64737879432           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219262192233349120     1222.839     1926.101           240.68135059114           +25.16839142759    16.5086     -3.149     -11.277         0.3204           0.00
 1219262982508309632     1606.636     1444.612           240.62245545691           +25.20735840375    16.5311     -2.512     -6.224         0.3483           0.00
 1219262398391843200      997.278     1749.528           240.70158115827           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219261917355443840     1753.956     1929.927           240.62083703168           +25.15307876959    16.7769     -0.357     -5.752         0.3402           0.00
20110228GSC2038.0293_2-183R.fit    28    2011    2         28        22        54        31.0      40.0      
 1219268823662931840      636.915      388.916           240.70020197827           +25.34382258650    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408      123.171     1892.302           240.80560512693           +25.20283748344    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152      842.086     1932.196           240.72477853756           +25.17845620546    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456     1701.529     1810.139           240.62288194117           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832     1588.589      394.513           240.59161467779           +25.31631607684    12.7308     -41.651     -12.381         2.6172         -58.14
 1219263978939807232      475.248     1484.490           240.75275609624           +25.23509088005    13.1832     -1.267     -13.310         2.5376         -19.25
 1219268136468174848     1732.439      137.951           240.56716352578           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219261951715181696     1583.146     1925.966           240.64000739921           +25.15817347668    13.3647      7.182     -15.208         1.3751          38.03
